ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
2289  ;KAY ST ;K2C1J6;Ward 8;391688;23;CONTRACTOR UNKNOWN;Single;Old Ottawa;Construct a secondary dwelling unit in a 1 storey detached dwelling (basement);1;25 000;800;1909736;Construction; 2020-janv-10
125  ;FINN CRT ;K1V2C6;Ward 18;4M-;83;KITCHENS & BATHROOMS FIRST INC.;Single;Old Ottawa;Interior alterations on the 2nd floor of a 2 storey detached dwelling;0;3 000;100;2000001;Construction; 2020-janv-02
1585  ;TENTH LINE RD ;K1E3E8;Ward 1;50M-97;;CONTRACTOR UNKNOWN;Institutional;Cumberland;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000003;Construction; 2020-janv-02
143  ;COUNTRY LANE W;K2L1J6;Ward 23;809;386;LEVEL CONSTRUCTION;Single;Kanata;Construct a 3 season sunroom (rear yard);0;20 000;172;2000004;Construction; 2020-janv-02
200  ;ISLAND LODGE RD ;K1N5M2;Ward 12;4M-;;CONTRACTOR UNKNOWN;Institutional;Old Ottawa;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000005;Construction; 2020-janv-02
18  ;ESQUIMAULT AVE ;K2H6Z4;Ward 8;479669;136;LEVEL CONSTRUCTION;Single;Nepean;Construct a 1 storey addition to a 2 storey detached dwelling (rear yard);0;20 401;122;2000006;Construction; 2020-janv-02
2285  ;GLADWIN CRES ;K1B4K9;Ward 18;4M-;;FJ CONSTRUCTION;Office;Old Ottawa;Tenant fit up in a 1 storey office building (Advanced Business Imaging);0;160 000;6074;2000007;Construction; 2020-janv-02
2287  ;GLADWIN CRES ;K1B4K9;Ward 18;4M-;;FJ CONSTRUCTION;Office;Old Ottawa;Tenant fit up in a 1 storey office building (Advanced Business Imaging);0;160 000;6074;2000007;Construction; 2020-janv-02
1545  ;CARLING AVE ;K1Z8P9;Ward 15;4M-;;GLENVIEW CONSTRUCTION LIMITED;Office;Old Ottawa;Interior alterations on the 7th floor of a 7 storey office building (Unit 702);0;100 000;1200;2000008;Construction; 2020-janv-02
5149  ;LERNER WAY ;K1J1B4;Ward 11;4M916;22;CONTRACTOR UNKNOWN;Single;Gloucester;Interior alterations to 2nd ensuite floor bathroom in a 2 storey detached dwelling;0;7 000;120;2000009;Construction; 2020-janv-02
107  ;TARTAN DR ;K2J3V7;Ward 3;4M-610;191;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations to the ensuite bathroom of a 2 storey detached dwelling;0;5 000;100;2000010;Construction; 2020-janv-02
86  ;ARGUE DR ;;Ward 9;;;CONTRACTOR UNKNOWN;Mixed;Nepean;PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device;0;0;0;2000011;Construction; 2020-janv-02
286  ;DALHOUSIE ST ;K1N7E6;Ward 12;42482;15 & 16;CONTRACTOR UNKNOWN;Retail;Old Ottawa;PLUMBING ONLY - Install a backflow preventer;0;0;0;2000013;Construction; 2020-janv-02
780  ;EAGLESON RD ;K2M0N2;Ward 23;4M-;31;CONTRACTOR UNKNOWN;Retail;Kanata;Tenant fit up to a 1 storey restaurant (ST. LOUIS );0;112 914;3039;2000014;Construction; 2020-janv-02
125  ;WALGREEN RD ;K0A1L0;Ward 21;4M-;;CONTRACTOR UNKNOWN;Industrial;West Carleton;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000015;Construction; 2020-janv-02
8647  ;FLEWELLYN RD ;K0A1B0;Ward 21;;3;CONTRACTOR UNKNOWN;Farm;Goulbourn;Construct a farm building for equipment storage, adjacent to existing farm building;0;74 500;4320;2000016;Construction; 2020-janv-02
350  ;PALLADIUM DR ;K2V1A8;Ward 23;4M-;1;CONTRACTOR UNKNOWN;Office;Kanata;Alterations to expand existing suite in a 2 storey office building (Suite 104 Stonewood Group);0;8 000;500;2000017;Construction; 2020-janv-02
2122  ;APPLEWOOD CRES ;K1H6B5;Ward 18;4M-;;***CONTRACTOR***;Single;Old Ottawa;Interior alterations to 1st floor and basement of a 1 storey detached dwelling;0;75 000;2700;2000018;Construction; 2020-janv-02
503  ;KOCHAR DR ;K2C4G9;Ward 16;4M-1258;1;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to the basement of a 2 storey detached dwelling;0;2 415;65;2000020;Construction; 2020-janv-02
30  ;ALEUTIAN RD ;K2H7C8;Ward 8;485692;52;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations on the ground floor of a 2 storey detached dwelling;0;10 000;0;2000021;Construction; 2020-janv-02
350  ;MICHAEL COWPLAND DR ;K2M2W1;Ward 23;;31;SITECAST CONSTRUCTION CORPORATION;Office;Kanata;Interior alterations to a 1 storey office building (Canadian Wildlife Federation);0;405 000;13652;2000022;Construction; 2020-janv-02
